Quantity,Manufacture Part Number,Manufacturer,Package,Description,Designator,LCSC Part Number,Notes
1,ESP32-S3-WROOM-1-N8R8,Espressif,Module,"ESP32-S3 WiFi/BLE module, 8MB flash + 8MB PSRAM",U1,C2913201,
1,TPS543620RPYR,Texas Instruments,VQFN-15 (RPY),"6A synchronous buck converter, 4-18V in",U2,,Not stocked at LCSC as of this writing - DigiKey/Mouser
1,TPS22965DSGT,Texas Instruments,WSON-8-EP 2x2,"Load switch, 5.7V 6A, adj. slew rate",U3,C347592,
1,BNO085,CEVA / Hillcrest,LGA-28,9-DOF IMU with sensor fusion,U4,C5189642,
1,USBLC6-2SC6,STMicroelectronics,SOT-23-6,USB 2.0 ESD protection array,U6,C7519,
1,TLV75533PDBVR,Texas Instruments,SOT-23-5,3.3V 500mA LDO,U7,C404027,
1,TPS2113ADRBR,Texas Instruments,VSON-8 (DRB),"Autoswitching power mux, 2.8-5.5V",U9,C354512,
1,SAM-M10Q-00B,u-blox,Module 15.5x15.5,GNSS module with integrated patch antenna,U11,C5443880,
1,BMP581,Bosch Sensortec,LGA-10,Barometric pressure sensor,U12,C5362283,
1,AO4407A,Alpha & Omega,SOIC-8,"P-channel MOSFET -30V -12A, reverse polarity protection",Q2,C16072,
1,BZT52C10,Various (e.g. Changjiang),SOD-123,"10V zener, 500mW - Q2 gate clamp",D2,,Verify value/type from your symbol; MMSZ5240B is an equivalent
1,KT-0603G,Hubei KENTO,0603,"Green LED, 20mA",D1,,Any 0603 LED; pick colour you want
1,SWPA6045S2R2MT,Sunlord,6.0x6.0x4.5mm,"2.2uH shielded power inductor, 6.4A Isat",L1,,Schematic says 2.4uH - 2.2uH is nearest standard. Needs Isat > 8A ideally
1,0603SFH500F/32-2,Bel Fuse,1206,5A fast-acting SMD fuse,F1,,Or a 5A polyfuse / blade holder depending on your footprint
1,TYPE-C-31-M-12,Korean Hroparts Elec,SMD 16P,"USB Type-C receptacle, USB 2.0, 16 pin",J1,C165948,
2,SM04B-SRSS-TB(LF)(SN),JST,SH 1.0mm 4P side entry,STEMMA QT / Qwiic connector,"J6,J7",C160404,
1,B4B-XH-A(LF)(SN),JST,XH 2.5mm 4P THT,5V JST power connector,J8,C144395,Swap to S4B-XH-SM4-TB (C161861) if you want SMD
4,PH1-03-UA,Ckmtw,2.54mm 1x3 header,3-pin male header - servo x3 + UART,"J3,J4,J5,J11",,Cut from a strip; 1x40 strip is cheaper
1,PZ254V-11-06P,Ckmtw,2.54mm 2x3 header,"2x3 male header, GPIO breakout",J10,,
