Part Number,Quantity,Customer Reference
RC0603FR-0710KL,50,"R9 R14 R19 R20 R24-R29 (10k, need 10)"
RC0603FR-075K1L,20,"R7 R8 (5.1k USB-C CC, need 2)"
RC0603FR-07100RL,10,"R10 (100R, need 1)"
RC0603FR-07100KL,20,"R11 R21 R22 (100k, need 3)"
RC0603FR-0713K3L,10,"R12 (13.3k buck FB, need 1)"
RC0603FR-0749R9L,10,"R13 (49.9R, need 1)"
RC0603FR-07332RL,10,"R15 (332R, need 1)"
RC0603FR-0791KL,10,"R16 (91k buck FB, need 1)"
RC0603FR-074K7L,20,"R17 R18 (4.7k I2C pullup, need 2)"
RC0603FR-0743KL,10,"R23 (43k, need 1)"
RC0603FR-07330RL,20,"R30 R32 R33 (330R servo sig, need 3)"
RC0603FR-07300RL,10,"R31 (300R, need 1)"
CL10B104KB8NNNC,50,"C7 C8 C18-C21 C22-C26 C28 (100n X7R 50V, need 12)"
CL10B105KA8NNNC,20,"C12 C13 C15-C17 (1u X7R 25V, need 5)"
GRM188R61E106KA73D,20,"C5 C6 C14 C27 C29 (10u X5R 25V, need 5)"
GRM188R61A226ME15D,10,"C9 C10 (22u X5R 10V buck out, need 2)"
EEE-FK1H470P,2,C1 (47u 50V bulk in)
EEE-FK1E471AP,2,C2 (470u 25V servo bulk)
LTST-C170GKT,10,D1 (LED 0805 green)
1812L260/16MR,5,F1 (PTC resettable 2.6A hold / 5A trip)
SRP6030VA-100M,2,L1 (10uH 5A buck inductor)
AO3401A,5,Q1 (P-FET reverse polarity)
PRPC040SAAN-RC,2,"J3 J4 J5 J9 (40-pin breakaway strip, snap to 3/3/3/4)"
PRPC003DAAN-RC,2,J10 (2x03 header)
S4B-PH-K-S(LF)(SN),2,J8 (JST PH 4-pin horiz)
S2B-PH-K-S(LF)(SN),2,J2 (JST PH 2-pin batt - or Adafruit 1769)
SM04B-SRSS-TB(LF)(SN),3,J6 J7 (STEMMA QT - or Adafruit 4392)
