Ref,Val,Package,PosX,PosY,Rot,Side
"C2","470u","CP_Elec_10x10",13.400000,35.600000,0.000000,top
"C5","10u","C_0603_1608Metric",17.900000,86.675000,90.000000,top
"C12","1u","C_0603_1608Metric",9.925000,78.820000,0.000000,top
"C13","1u","C_0603_1608Metric",10.600000,81.500000,90.000000,top
"C14","10u","C_0603_1608Metric",12.600000,87.400000,90.000000,top
"C15","1u","C_0603_1608Metric",10.445000,84.790000,180.000000,top
"C16","1u","C_0603_1608Metric",7.105000,84.800000,0.000000,top
"C17","1u","C_0603_1608Metric",45.350000,67.050000,90.000000,top
"C18","100n","C_0603_1608Metric",48.600000,67.050000,-90.000000,top
"C19","100n","C_0603_1608Metric",24.050000,59.075000,180.000000,top
"C20","100n","C_0603_1608Metric",25.295000,65.180000,0.000000,top
"C21","100n","C_0603_1608Metric",24.050000,57.525000,180.000000,top
"C22","0.1u","C_0603_1608Metric",19.600000,86.675000,90.000000,top
"C23","100n","C_0603_1608Metric",41.550000,86.850000,90.000000,top
"C24","100n","C_0603_1608Metric",30.775000,50.300000,0.000000,top
"C25","100n","C_0603_1608Metric",30.805000,51.950000,0.000000,top
"C26","100n","C_0603_1608Metric",38.983333,24.750000,0.000000,top
"C27","10u","C_0603_1608Metric",15.225000,1.740000,180.000000,top
"C28","100n","C_0603_1608Metric",15.250000,3.540000,180.000000,top
"C29","10u","C_0603_1608Metric",9.810000,70.190000,-90.000000,top
"C30","4.7u","C_0603_1608Metric",38.979167,21.450000,0.000000,top
"C31","100n","C_0603_1608Metric",38.995833,18.150000,0.000000,top
"C32","4.7u","C_0603_1608Metric",38.987500,16.500000,0.000000,top
"C33","4.7u","C_0603_1608Metric",30.400000,25.000000,0.000000,top
"C34","100n","C_0603_1608Metric",34.025000,23.800000,0.000000,top
"C35","15p","C_0603_1608Metric",29.787500,20.600000,90.000000,top
"C36","47u","C_0603_1608Metric",28.193750,20.600000,90.000000,top
"C37","4.7u","C_0603_1608Metric",38.991667,23.100000,0.000000,top
"C38","4.7u","C_0603_1608Metric",39.000000,19.800000,0.000000,top
"C39","47u","C_0603_1608Metric",26.600000,20.600000,90.000000,top
"C40","220u","C_0603_1608Metric",44.225000,28.400000,0.000000,top
"C41","22u","C_0603_1608Metric",46.000000,36.775000,90.000000,top
"C42","0.1u","C_0603_1608Metric",41.900000,33.300000,90.000000,top
"C43","0.1u","C_0603_1608Metric",43.500000,33.300000,90.000000,top
"C44","100u","C_0603_1608Metric",47.583333,36.775000,90.000000,top
"C45","0.1u","C_0603_1608Metric",49.166667,36.775000,90.000000,top
"C46","10n","C_0603_1608Metric",48.850000,29.600000,-90.000000,top
"D1","LED","LED_0805_2012Metric",46.112500,82.150000,0.000000,top
"D2","10V","D_SOD-123",45.500000,12.300000,90.000000,top
"F1","5A","Fuse_1812_4532Metric",50.100000,14.900000,180.000000,top
"H1","MountingHole","MountingHole_2.1mm",3.000000,87.000000,0.000000,top
"H2","MountingHole","MountingHole_2.1mm",3.000000,3.000000,0.000000,top
"H3","MountingHole","MountingHole_2.1mm",57.000000,87.000000,0.000000,top
"H4","MountingHole","MountingHole_2.1mm",57.000000,3.000000,0.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4110",3.825000,73.360000,-90.000000,top
"J2","Conn_01x01","TestPoint_Pad_3.0x3.0mm",55.710000,14.890000,0.000000,top
"J3","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",1.800000,41.700000,180.000000,top
"J4","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",1.800000,32.620000,180.000000,top
"J5","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",1.800000,23.620000,180.000000,top
"J6","Conn_01x04","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",3.175000,61.300000,-90.000000,top
"J7","Conn_01x04","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",3.175000,53.000000,-90.000000,top
"J8","Conn_01x04","JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal",53.050000,28.500000,90.000000,top
"J9","Conn_01x01","TestPoint_Pad_3.0x3.0mm",55.710000,10.240000,0.000000,top
"J10","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",54.260000,77.140000,0.000000,top
"J11","Conn_01x03","JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal",53.050000,39.900000,90.000000,top
"L1","2.4uH","WE-HCI_1050",35.100000,33.100000,0.000000,top
"Q2","AO4407A","SOIC127P600X175-8N",39.932500,12.400000,0.000000,top
"R7","5.1K","C_0603_1608Metric",9.500000,76.500000,90.000000,top
"R8","5.1K","C_0603_1608Metric",11.540000,70.190000,-90.000000,top
"R9","10k","C_0603_1608Metric",47.000000,67.050000,90.000000,top
"R10","100R","C_0603_1608Metric",48.500000,60.500000,90.000000,top
"R14","10k","C_0603_1608Metric",26.810000,61.685000,90.000000,top
"R15","332R","C_0603_1608Metric",16.200000,80.600000,-90.000000,top
"R16","91k","C_0603_1608Metric",13.000000,77.200000,180.000000,top
"R17","4.7k","C_0603_1608Metric",18.840000,61.940000,-90.000000,top
"R18","4.7k","C_0603_1608Metric",18.820000,58.885000,90.000000,top
"R19","10k","C_0603_1608Metric",20.700000,65.250000,0.000000,top
"R20","10k","C_0603_1608Metric",22.980000,66.205000,-90.000000,top
"R21","100k","C_0603_1608Metric",35.250000,9.475000,-90.000000,top
"R22","100k","C_0603_1608Metric",38.975000,26.350000,0.000000,top
"R23","43k","C_0603_1608Metric",43.150000,86.850000,-90.000000,top
"R24","10k","C_0603_1608Metric",30.400000,23.400000,180.000000,top
"R25","11.3k","C_0603_1608Metric",25.600000,27.000000,90.000000,top
"R26","24.3k","C_0603_1608Metric",27.200000,27.000000,90.000000,top
"R27","10k","C_0603_1608Metric",5.500000,13.675000,-90.000000,top
"R28","10k","C_0603_1608Metric",24.300000,12.200000,180.000000,top
"R29","10k","C_0603_1608Metric",24.025000,55.975000,180.000000,top
"R30","330R","C_0603_1608Metric",4.550000,41.425000,-90.000000,top
"R31","300R","C_0603_1608Metric",41.700000,83.300000,90.000000,top
"R32","330R","C_0603_1608Metric",4.600000,32.300000,-90.000000,top
"R33","330R","C_0603_1608Metric",4.700000,23.300000,-90.000000,top
"R34","90.9k","C_0603_1608Metric",30.062500,18.100000,180.000000,top
"R35","10k","C_0603_1608Metric",30.087500,16.500000,0.000000,top
"R36","100k","C_0603_1608Metric",43.200000,37.600000,-90.000000,top
"SW1","SW_Push","SW_SPST_PTS645Sx43SMTR92",54.680000,65.250000,0.000000,top
"SW2","SW_Push","SW_SPST_PTS645Sx43SMTR92",54.690000,58.000000,0.000000,top
"TP1","TestPoint","TestPoint_Pad_1.0x1.0mm",58.300000,24.000000,0.000000,top
"U1","ESP32-S3-WROOM-1-N8R8","XCVR_ESP32S3WROOM1N8R8",30.250000,83.740000,0.000000,top
"U2","TPS543620RPYR","IC_TPS543620RPYR",34.100000,20.300000,0.000000,top
"U3","TPS22965DSGT","SON50P200X200X80-9N",46.600000,32.900000,0.000000,top
"U4","BNO085","IC_BNO085",22.450000,62.037500,180.000000,top
"U6","USBLC6-2SC6","SOT-23-6",12.787500,73.850000,180.000000,top
"U7","TLV75533PDBVR","SOT95P280X145-5N",9.085000,87.450000,180.000000,top
"U9","TPS2113ADRBR","SON65P300X300X100-9N",13.400000,79.885000,180.000000,top
"U11","SAM-M10Q-00B","XCVR_SAM-M10Q-00B",14.500000,12.500000,90.000000,top
"U12","BMP581","BMP581",30.837500,54.100000,0.000000,top
